KF4 Log
z Pzz v Pvv atrue Paa abias Pbb
90751.1 14.7 1.1 315.3 -2.8 35777.3 -1.1 262.5
90753.2 14.7 8.0 315.1 -1.1 35777.3 -2.8 261.1
90751.5 14.7 1.6 315.0 -3.7 35777.3 -1.2 259.8
90751.1 14.7 0.1 314.9 -4.2 35777.3 -0.9 258.4
90749.7 14.7 -4.5 314.8 -4.2 35777.3 0.2 257.1
90747.3 14.7 -12.3 314.7 -6.7 35777.3 2.0 255.8
90746.7 14.7 -13.7 314.6 -6.5 35777.3 2.3 254.5
90747.0 14.7 -12.0 314.4 -6.8 35777.3 1.9 253.2
90749.1 14.7 -4.2 314.3 -3.8 35777.3 0.0 251.9
90751.1 14.7 2.7 314.2 -2.5 35777.3 -1.6 250.7
90753.1 14.7 9.2 314.1 -0.3 35777.3 -3.1 249.5
90753.9 14.7 11.1 314.0 -0.6 35777.3 -3.5 248.2
90754.6 14.7 12.7 313.9 0.6 35777.3 -3.9 247.0
90756.9 14.7 19.8 313.8 2.1 35777.3 -5.5 245.8
90762.0 14.7 35.7 313.7 5.0 35777.3 -9.2 244.6
90762.2 14.7 33.8 313.6 2.7 35777.3 -8.7 243.4
90759.3 14.7 22.0 313.5 -2.0 35777.3 -6.0 242.3
90759.3 14.7 20.4 313.4 -2.3 35777.3 -5.7 241.1
90757.8 14.7 14.0 313.3 2.1 35777.3 -4.2 239.9
90759.4 14.7 18.5 313.3 -3.0 35777.3 -5.2 238.8
90759.4 14.7 17.3 313.2 4.8 35777.3 -5.0 237.7
90758.3 14.7 12.5 313.1 -4.1 35777.3 -3.9 236.6
90761.0 14.7 20.5 313.0 4.3 35777.3 -5.7 235.5
90760.2 14.7 16.7 312.9 -1.5 35777.3 -4.8 234.4
90762.8 14.7 24.2 312.8 3.2 35777.3 -6.5 233.3
90763.4 14.7 24.5 312.7 1.4 35777.3 -6.5 232.2
90760.1 14.6 11.9 312.6 -3.5 35777.3 -3.8 231.1
90759.5 14.6 8.9 312.5 -1.6 35777.3 -3.2 230.1
90758.8 14.6 6.1 312.4 -2.1 35777.3 -2.6 229.0
90759.1 14.6 6.5 312.4 -1.5 35777.3 -2.7 228.0
90756.5 14.6 -2.6 312.3 -5.4 35777.3 -0.7 227.0
90756.0 14.6 -4.1 312.2 -3.5 35777.3 -0.4 226.0
90756.4 14.6 -2.5 312.1 -3.6 35777.3 -0.8 225.0
90754.6 14.6 -8.4 312.0 -4.7 35777.3 0.4 224.0
90754.0 14.6 -9.9 311.9 -5.4 35777.3 0.7 223.0
90754.8 14.6 -6.7 311.9 -3.5 35777.3 0.0 222.0
90754.1 14.6 -8.7 311.8 -4.5 35777.3 0.4 221.0
90755.5 14.6 -3.5 311.7 -4.3 35777.3 -0.7 220.0
90758.5 14.6 6.4 311.6 -0.7 35777.3 -2.7 219.1
90758.3 14.6 5.4 311.5 -2.2 35777.3 -2.5 218.1
90756.1 14.6 -2.2 311.4 -2.7 35777.3 -1.0 217.2
90757.7 14.6 3.0 311.4 -2.0 35777.3 -2.0 216.3
90758.4 14.6 5.1 311.3 -1.5 35777.3 -2.5 215.3
90757.8 14.6 2.9 311.2 -2.7 35777.3 -2.0 214.4
90758.0 14.6 3.3 311.1 -3.0 35777.3 -2.1 213.5
90757.6 14.6 1.6 311.1 -3.2 35777.3 -1.8 212.6
90758.4 14.6 4.1 311.0 -2.4 35777.3 -2.3 211.7
90758.0 14.6 2.6 310.9 -3.4 35777.3 -2.0 210.8
90755.4 14.6 -6.4 310.8 -5.3 35777.3 -0.3 210.0
